# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 16 01:34:03 2020
#
# User preference: *
#
# COLUMN 0 pl_hostname:    Host Name
# COLUMN 1 pl_name:        Planet Name
# COLUMN 2 pl_discmethod:  Discovery Method
# COLUMN 3 pl_orbper:      Orbital Period [days]
# COLUMN 4 dec_str:        Dec [sexagesimal]
# COLUMN 5 dec:            Dec [decimal degrees]
# COLUMN 6 pl_masse:       Planet Mass [Earth mass]
# COLUMN 7 pl_rade:        Planet Radius [Earth radii]
#
# pl_hostname,pl_name,pl_discmethod,pl_orbper,dec_str,dec,pl_masse,pl_rade
11 Com,11 Com b,Radial Velocity,326.03000000,+17d47m34.3s,17.792868,,
11 UMi,11 UMi b,Radial Velocity,516.21997000,+71d49m26.0s,71.823898,,
14 And,14 And b,Radial Velocity,185.84000000,+39d14m10.3s,39.236198,,
14 Her,14 Her b,Radial Velocity,1773.40002000,+43d49m03.5s,43.817646,,
16 Cyg B,16 Cyg B b,Radial Velocity,798.50000000,+50d31m03.1s,50.517525,,
18 Del,18 Del b,Radial Velocity,993.30000000,+10d50m21.4s,10.839286,,
1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,,-21d04m58.9s,-21.083036,3000.00000,
24 Boo,24 Boo b,Radial Velocity,30.35060000,+49d50m41.5s,49.844852,,
24 Sex,24 Sex b,Radial Velocity,452.80000000,-00d54m08.1s,-0.902244,,
24 Sex,24 Sex c,Radial Velocity,883.00000000,-00d54m08.1s,-0.902244,,
2MASS J01225093-2439505,2MASS J01225093-2439505 b,Imaging,,-24d39m50.6s,-24.664049,7786.50000,
2MASS J02192210-3925225,2MASS J02192210-3925225 b,Imaging,,-39d25m22.5s,-39.422928,4417.83700,16.141
2MASS J04414489+2301513,2MASS J04414489+2301513 b,Imaging,,+23d01m51.4s,23.030941,2383.60000,
2MASS J12073346-3932539,2MASS J12073346-3932539 b,Imaging,,-39d32m54.0s,-39.548332,1271.00000,
2MASS J19383260+4603591,2MASS J19383260+4603591 b,Eclipse Timing Variations,416.00000000,+46d03m59.1s,46.066418,603.87700,
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,Imaging,7336.50000000,+16d25m18.3s,16.421759,6657.48000,10.310
2MASS J22362452+4751425,2MASS J22362452+4751425 b,Imaging,,+47d51m42.6s,47.861820,3972.87500,
30 Ari B,30 Ari B b,Radial Velocity,335.10001000,+24d38m53.0s,24.648064,,
4 UMa,4 UMa b,Radial Velocity,269.30000000,+64d19m40.6s,64.327934,,
42 Dra,42 Dra b,Radial Velocity,479.10000000,+65d33m48.5s,65.563484,,
47 UMa,47 UMa b,Radial Velocity,1078.00000000,+40d25m48.9s,40.430256,,
47 UMa,47 UMa c,Radial Velocity,2391.00000000,+40d25m48.9s,40.430256,,
47 UMa,47 UMa d,Radial Velocity,14002.00000000,+40d25m48.9s,40.430256,,
51 Eri,51 Eri b,Imaging,11688.00000000,-02d28m24.8s,-2.473548,,
51 Peg,51 Peg b,Radial Velocity,4.23078500,+20d46m07.8s,20.768833,,
55 Cnc,55 Cnc b,Radial Velocity,14.65152000,+28d19m50.9s,28.330818,263.97850,
55 Cnc,55 Cnc c,Radial Velocity,44.41750000,+28d19m50.9s,28.330818,54.47380,
55 Cnc,55 Cnc d,Radial Velocity,4825.00000000,+28d19m50.9s,28.330818,1232.49300,
55 Cnc,55 Cnc e,Radial Velocity,0.73653900,+28d19m50.9s,28.330818,8.08000,1.910
55 Cnc,55 Cnc f,Radial Velocity,262.00000000,+28d19m50.9s,28.330818,44.81200,
6 Lyn,6 Lyn b,Radial Velocity,934.30000000,+58d09m45.5s,58.162632,,
61 Vir,61 Vir b,Radial Velocity,4.21500000,-18d18m40.3s,-18.311195,,
61 Vir,61 Vir c,Radial Velocity,38.02100000,-18d18m40.3s,-18.311195,,
61 Vir,61 Vir d,Radial Velocity,123.01000000,-18d18m40.3s,-18.311195,,
7 CMa,7 CMa b,Radial Velocity,735.10000000,-19d15m21.2s,-19.255878,,
7 CMa,7 CMa c,Radial Velocity,996.00000000,-19d15m21.2s,-19.255878,,
70 Vir,70 Vir b,Radial Velocity,116.68800000,+13d46m43.6s,13.778788,,
75 Cet,75 Cet b,Radial Velocity,691.90000000,-01d02m05.6s,-1.034896,,
8 UMi,8 UMi b,Radial Velocity,93.40000000,+74d54m03.3s,74.900925,,
81 Cet,81 Cet b,Radial Velocity,952.70000000,-03d23m46.2s,-3.396175,,
91 Aqr,91 Aqr b,Radial Velocity,181.40000000,-09d05m15.9s,-9.087737,,
AB Pic,AB Pic b,Imaging,,-58d03m15.5s,-58.054310,4290.50000,
BD+03 2562,BD+03 2562 b,Radial Velocity,481.90000000,+02d45m36.5s,2.760142,,
BD+14 4559,BD+14 4559 b,Radial Velocity,268.94000000,+14d41m21.8s,14.689387,,
BD+15 2375,BD+15 2375 b,Radial Velocity,153.22000000,+14d36m59.0s,14.616381,,
BD+15 2940,BD+15 2940 b,Radial Velocity,137.48000000,+15d32m48.9s,15.546930,,
BD+20 2457,BD+20 2457 b,Radial Velocity,379.63000000,+19d53m29.1s,19.891409,,
BD+20 2457,BD+20 2457 c,Radial Velocity,621.99000000,+19d53m29.1s,19.891409,,
BD+20 274,BD+20 274 b,Radial Velocity,578.20000000,+21d00m19.1s,21.005314,,
BD+20 594,BD+20 594 b,Transit,41.68550000,+20d35m57.2s,20.599232,22.24810,2.578
BD+48 738,BD+48 738 b,Radial Velocity,392.60000000,+49d35m13.1s,49.586960,,
BD+48 740,BD+48 740 b,Radial Velocity,733.00000000,+48d55m48.2s,48.930061,,
BD+49 828,BD+49 828 b,Radial Velocity,2590.00000000,+49d43m48.0s,49.730011,,
